"nspp","altmed","rangoalt","shannon","tempmin","precip"
44,509,459,1.09,5.3,408.1
73,511,318,1.86,3,193.7
88,562,149,2.78,1.5,137.1
77,297,141,1.75,4.7,251.9
63,1277,593,2.52,-0.6,234.9
66,754,127,0.67,0.7,124
67,868,118,1.54,0.7,116.1
65,574,285,2.05,2.7,275.2
46,1870,1752,1.96,-2.1,209.5
56,1122,746,2.18,0.9,220.5
50,728,670,1.87,2,491.9
60,99,371,2.21,5.8,519.7
97,29,134,2.22,7.4,70.7
53,832,148,1.19,0.4,167.9
47,1109,237,1.99,-0.9,129.8
38,500,430,2.38,2.3,294.1
49,590,563,1.57,4.5,568
52,782,212,1.72,1.5,270.7
47,304,276,1.76,4.7,288.1
64,593,664,2.21,-0.4,131.6
48,982,745,2.42,1.3,177
47,637,827,1.92,1.8,349.7
62,67,225,2.08,7.4,91.1
64,1064,217,2.02,-1.5,228.9
49,1083,1220,2.3,0.2,210.2
69,1090,183,2.31,-1.5,198.9
25,831,158,0.84,0.6,168
55,1386,726,1.19,0.5,242.4
68,569,172,1.86,2.3,211.9
54,575,198,0.79,3,152.3
47,1184,1441,1.7,3.5,449.3
49,1215,592,2.5,-0.4,179.8
51,260,484,2.06,6,194.7
48,834,181,1.77,1.1,180.5
57,1158,1178,2.3,0.4,270.6
52,1344,668,1.03,0,139.2
72,56,278,1.61,5.8,600.5
55,707,1088,1.92,3.1,378.4
51,162,81,1.1,5.4,356.8
63,744,72,1.96,0.5,213.1
64,1006,670,2.08,3.1,142.3
60,287,195,1.04,2.9,108.2
66,397,153,1.37,2.8,107.7
57,67,151,1.77,6.4,105.9
58,349,114,1.18,2.3,128.2
87,605,88,1.87,2.1,149
79,1079,960,2.24,1.1,195.3
45,95,508,1.5,6.6,228.7
25,639,39,0.84,1.8,182.9
47,196,554,1.46,5.6,136.6
51,938,966,1.52,5.5,110.5
49,965,214,1.85,-0.7,168.2
42,465,436,1.96,4.9,612.1
67,688,331,1.85,0.6,158.7
57,566,256,1.92,2.5,432.3
58,1147,369,2.17,-1.4,235.6
68,413,280,1.61,4.6,230
39,1132,280,1.86,2.4,279.4
45,741,1260,2.44,0.1,125.7
48,177,596,1.86,5.8,668.3
59,785,96,1.56,0.5,209.8
46,712,452,1.35,3.6,144.9
73,264,154,1.66,4.1,285.3
51,728,520,1.73,2.2,275.5
88,293,135,1.64,2.7,108.1
58,1536,1307,2.2,2.2,134.8
68,283,551,1.96,4.1,152.5
53,547,649,1.59,2.2,347.9
27,74,366,2.33,5.5,791.2
57,349,423,1.59,5.4,688.4
80,547,97,2.05,1.6,129.4
49,448,690,2.34,3.1,450.1
63,503,477,1.48,0.9,118.5
43,902,1603,1.48,1.9,562.5
72,533,474,1.83,4.6,308.9
50,723,180,1.85,0.4,146.7
56,1194,1454,1.9,-1.7,206.1
52,611,685,1.49,3.4,271.9
51,674,394,1.58,0.9,120.1
46,318,287,1.85,6.1,177.4
56,1396,876,2.46,-1.4,209.1
74,762,166,0.55,0.6,147.1
70,954,105,1.33,-0.3,182.7
48,149,79,1.09,4.9,371.6
21,357,110,1.04,5,201.3
41,319,677,1.66,4.6,524
53,390,797,1.69,0.9,205.5
39,136,94,0.86,5.4,351.6
72,766,388,2.13,2.6,444.2
38,1211,304,1.43,-0.5,115.6
60,101,70,0.79,6.7,341
41,1225,383,0.89,-1.6,286.6
46,520,256,1.72,4.8,236.6
57,997,264,0.93,0.6,200.9
62,697,479,2.62,2.1,323.4
47,1417,1259,2.25,-1.7,249.8
54,530,574,1.87,2.7,344.2
64,813,245,2.06,1.2,146
44,734,64,1.01,1.5,150.1
31,840,65,1.26,0.3,149.5
22,1171,773,1.07,2.5,530
65,490,559,2.02,1.6,520.7
46,1370,1034,2.12,0.3,429.4
57,639,362,1.13,4,303.6
52,184,269,1.8,7.2,63.3
57,122,385,1.43,7.1,602.9
67,509,345,1.2,3.5,257
55,845,677,2.53,2.1,490.2
48,952,260,2.13,-0.3,236.3
60,1002,939,2.4,2.8,289.8
43,1507,2078,1.76,-1,310.9
64,954,180,2.15,-1.2,158.4
45,478,1411,1.99,6.5,385.1
58,537,437,1.94,4.4,358.9
47,103,362,2,5.6,611.8
85,606,167,1.82,2.2,199.6
41,106,481,1.67,5.4,629.3
47,564,494,1.78,5.6,71
32,1575,762,1.34,0.6,502
79,260,356,1.66,2.3,87.8
64,608,260,1.4,4,224
53,454,316,1.21,2.4,117.1
44,697,36,0.8,0.3,147.7
53,1188,1213,1.56,3.8,341.3
66,454,505,1.44,3.9,398.4
51,816,138,0.56,0.3,146.6
49,1096,608,2.35,-1,380.3
71,468,243,1.58,2.4,220.7
51,896,440,1.92,0.7,169.2
30,287,227,1.77,5,201.7
54,179,328,1.11,5,475.5
53,736,119,1.33,1.9,141.3
66,635,342,1.63,1.9,194.8
56,254,214,1.92,4.6,231.1
45,591,1054,1.65,2.7,737.8
55,590,557,2.06,4,76
58,626,237,2.01,3.5,89.8
68,816,174,1.75,0.8,168.9
40,1425,1481,2.01,1.5,466
