"Species","Family","Order","BkL","BNL","BkD","BkW","TsL","WnL","SWL","KpD","TlL","HWI","Mass","Habitat","Hab.Dns","Migrt","TrphL","Trph.Nch","Life.stl","MinLat","MaxLat","CntLat","CntLon","RngSz"
"Chlorospingus flavigularis","Thraupidae","Passeriformes",16.5,9.3,6.1,5.1,21.3,79.3,65.2,14.1,61.6,17.8,25.6,"Forest",1,1,"Herbivore","Frugivore","In",-13.86,9.35,-4.21,-76.27,202998.97
"Emberizoides duidae","Emberizidae","Passeriformes",17.4,9.8,6.7,5.2,25.4,77,66.1,10.9,123,14.1,27.6,"Grassland",3,1,"Omnivore","Granivore","Tr",3.15,3.46,3.3,-65.6,137.14
"Petronia petronia","Passeridae","Passeriformes",15.7,11,9.1,7,16.9,93,61.8,31.1,60.2,33.4,30.2,"Rock",3,1,"Herbivore","Granivore","Tr",27.64,52.64,42.34,70.02,7800913.29
"Calidris acuminata","Scolopacidae","Charadriiformes",27.4,20.5,3.9,2.8,28.7,128.8,58.6,70.4,53.4,54.5,66.1,"Wetland",3,3,"Carnivore","Aquatic predator","Tr",67.56,73.93,70.74,144.88,348177.87
"Laniisoma elegans","Cotingidae","Passeriformes",20.3,13.2,6.1,5.4,22.5,103.5,76.6,26.9,61,26,47.4,"Forest",1,1,"Omnivore","Omnivore","In",-25.89,-18.48,-22.35,-44.62,172527.96
"Myiobius villosus","Tyrannidae","Passeriformes",14.8,7.3,3.3,5.1,18,68.1,56.7,11.7,63.9,17.1,14.1,"Forest",1,1,"Carnivore","Invertivore","In",-16.38,10.68,-5.01,-75.12,270819.42
"Falco cenchroides","Falconidae","Falconiformes",20,13.4,11.6,9.6,38.3,249.4,115.2,136.1,161.4,54.1,170.5,"Woodland",3,2,"Carnivore","Invertivore","Gn",-43.64,-3.88,-25.73,134.49,7685043.14
"Eurylaimus ochromalus","Eurylaimidae","Passeriformes",20.4,13.7,8,12.3,20.5,78.8,61,18.3,47.8,22.9,33.3,"Forest",1,1,"Carnivore","Invertivore","In",-6.17,15.76,1.57,109.44,1128803.82
"Centropus spilopterus","Cuculidae","Cuculiformes",38.2,20.9,16.5,9.4,53.8,233,187.8,45.2,282,19.4,244.4,"Forest",1,1,"Carnivore","Invertivore","Tr",-6,-5.27,-5.66,132.89,1110.39
"Agelaioides badius","Icteridae","Passeriformes",18.3,11.6,8.8,5,25.7,91.6,75.9,15.8,74.1,17.2,45.3,"Forest",2,1,"Omnivore","Omnivore","Tr",-43.67,-2.79,-24.2,-56.33,4752390.8
"Conopophaga peruviana","Conopophagidae","Passeriformes",17.7,9.9,4.5,6.2,25.6,65.6,54.7,11.2,30.8,17.1,23,"Forest",1,1,"Carnivore","Invertivore","In",-13.73,-0.54,-7.11,-71.84,1098743.55
"Ptilinopus cinctus","Columbidae","Columbiformes",21,9.3,4.6,4.7,25,166.1,118.2,50.3,119,29.6,243,"Forest",2,1,"Herbivore","Frugivore","In",-13.06,-6.3,-10.02,125.76,112259.16
"Woodfordia lacertosa","Zosteropidae","Passeriformes",23.4,14,4.9,3.7,24.6,82,69.4,12.6,56,15.4,28,"Forest",1,1,"Omnivore","Omnivore","In",-10.89,-10.67,-10.76,165.88,537.14
"Irediparra gallinacea","Jacanidae","Charadriiformes",28.1,14.6,5.2,3.4,58.9,135.1,91.7,43.9,41.2,32.4,98.8,"Wetland",3,1,"Omnivore","Aquatic predator","Tr",-32.76,10.47,-13.01,136.09,2181164.52
"Metriopelia ceciliae","Columbidae","Columbiformes",13.8,8.1,3.1,2.8,17.6,95,70.5,24,66.2,25.4,55.1,"Shrubland",3,1,"Herbivore","Granivore","Tr",-22.24,-5.13,-14.5,-72.04,490195.48
"Garrulax annamensis","Timaliidae","Passeriformes",25.7,15.5,6.7,4.9,36.4,91.5,87,4.6,93.6,5,78.8,"Forest",1,1,"Carnivore","Invertivore","Gn",11.28,12.55,11.93,108.37,8040.52
"Cercomacra carbonaria","Thamnophilidae","Passeriformes",17,10.8,4.4,4.8,23.8,65.4,59.5,6,70.3,9.2,14.5,"Forest",1,1,"Carnivore","Invertivore","In",-1.29,3.73,1.59,-61.15,17194.19
"Thamnistes anabatinus","Thamnophilidae","Passeriformes",23.3,12.6,6.2,6,19.9,69.5,59.2,11.1,57.9,16.2,20.7,"Forest",1,1,"Carnivore","Invertivore","In",-17.08,17.82,4.62,-80.97,606332.33
"Scytalopus affinis","Rhinocryptidae","Passeriformes",13.7,7.2,3,3,19,50.2,45.1,5.8,39.4,11.7,13.1,"Forest",2,1,"Carnivore","Invertivore","Tr",-9.42,-6.09,-7.77,-78.15,15372.72
"Haplospiza unicolor","Emberizidae","Passeriformes",13.7,8.8,6.5,4.3,17.6,64.2,52.4,11.8,49,18.4,15.3,"Forest",1,2,"Herbivore","Granivore","Gn",-30.82,-18.74,-24.5,-49.53,977656.66
"Turdoides hypoleuca","Timaliidae","Passeriformes",21.9,11.8,6.8,4.1,32.7,106.9,94.6,9.8,108.1,9.4,74,"Shrubland",2,1,"Omnivore","Omnivore","Gn",-7.79,1.04,-2.83,37.29,89042.46
"Sericornis citreogularis","Acanthizidae","Passeriformes",15.5,8.1,3.2,3.3,26.3,66.8,52.2,9.9,50.1,16,17.6,"Forest",1,1,"Carnivore","Invertivore","Tr",-36.33,-14.86,-28.74,150.77,169010.51
"Neopelma pallescens","Pipridae","Passeriformes",14.2,8.6,4.7,4.6,15.2,72.2,63.1,13.6,59.4,17.7,18.2,"Forest",2,1,"Carnivore","Invertivore","In",-22.76,2.91,-12.73,-49.91,2439572.76
"Melanerpes pygmaeus","Picidae","Piciformes",21.5,15.8,5.9,5.8,19.4,97.4,76,20.6,62,21.3,38.8,"Shrubland",2,1,"Omnivore","Invertivore","In",16.41,21.61,19.77,-88.91,126112.5
"Thalassornis leuconotus","Anatidae","Anseriformes",40,23,12.5,19.4,37.9,166.5,109.2,58.8,41.8,35.1,707.5,"Wetland",3,1,"Herbivore","Herbivore aquatic","Aq",-34.84,16.85,-10.93,29.51,10032374.01
"Vireo nanus","Vireonidae","Passeriformes",12.5,6,3.3,4.5,20.2,55.4,48.3,7.1,51.1,12.7,10.5,"Woodland",1,1,"Omnivore","Invertivore","In",17.61,19.95,19.09,-71.52,13196.28
"Leucosticte atrata","Fringillidae","Passeriformes",11.5,9.2,8.2,6.4,18.9,106.4,65.9,39.4,69.1,37.5,25.2,"Grassland",3,3,"Omnivore","Omnivore","Tr",39.91,46.69,43.91,-111.47,136791.41
"Phylidonyris albifrons","Meliphagidae","Passeriformes",20.6,9.9,3.7,2.8,20.2,80.7,62.6,16,72.4,20.4,17.4,"Shrubland",2,1,"Herbivore","Nectarivore","In",-36.48,-22.57,-30.62,132.18,792198.36
"Leptasthenura striolata","Furnariidae","Passeriformes",8.4,6,2.7,2.4,16.9,52.6,44.1,8.2,88.2,15.5,10.5,"Forest",2,1,"Carnivore","Invertivore","In",-29.62,-23.85,-26.41,-50.95,208971.09
"Picumnus spilogaster","Picidae","Piciformes",11.9,9.2,4.7,3.9,13,53.8,46.1,7.4,29.6,13.8,13.2,"Forest",1,1,"Carnivore","Invertivore","In",-1.52,10.02,5.28,-61.62,182978.53
"Diomedea exulans","Diomedeidae","Procellariiformes",162.3,115.4,49.5,35.7,115.1,634.5,208.5,417.8,181.3,66.7,6961.3,"Marine",3,2,"Carnivore","Aquatic predator","Aq",-68.17,-22.88,-46.83,2.36,97771387.54
"Accipiter melanochlamys","Accipitridae","Accipitriformes",25.9,15.6,13.9,11,62.7,228.6,156.2,75,164.8,32.4,265,"Forest",1,1,"Carnivore","Vertivore","Gn",-10.07,-0.95,-5.31,141.87,115449.94
"Eriocnemis glaucopoides","Trochilidae","Apodiformes",25,19.8,2.1,1.8,4.3,50.3,18.1,32.1,38,63.9,3.7,"Human Modified",2,1,"Herbivore","Nectarivore","Ar",-27.21,-16.73,-21.13,-64.8,57142.21
"Nonnula brunnea","Bucconidae","Piciformes",21.5,15.8,5.6,5.2,12.4,63.2,48.4,14.1,60.8,22.6,25,"Forest",1,1,"Carnivore","Invertivore","In",-6.9,3.02,-2.1,-76.1,251222.79
"Turdoides nipalensis","Timaliidae","Passeriformes",23.6,14.2,6.3,4.5,29.7,82.2,77.8,4.7,112.6,5.7,61,"Shrubland",2,1,"Carnivore","Invertivore","Tr",26.83,29.77,28.38,83.4,28765.27
"Agapornis personatus","Psittacidae","Psittaciformes",19.1,17.3,16.6,10.6,14.7,95.2,57.2,40.2,43.6,41.3,52.4,"Shrubland",2,1,"Herbivore","Granivore","Tr",-8.63,-2.69,-5.94,35.62,203564
"Pagophila eburnea","Laridae","Charadriiformes",45.1,16.5,11.6,6.6,38.7,333.4,129.2,201.8,137,61,550,"Marine",3,2,"Carnivore","Aquatic predator","Ar",50.73,84.11,74.49,-22.41,17367390.8
"Pterodroma cahow","Procellariidae","Procellariiformes",37.1,21.5,9.1,7.9,34.5,245,88,157,117,64.1,246,"Marine",3,2,"Carnivore","Aquatic predator","Gn",20.05,57.55,39.01,-43.24,15874369.54
"Treron floris","Columbidae","Columbiformes",22.5,13,7.3,6.1,23.6,147.8,104.6,44.6,87.4,29.9,205.7,"Forest",2,1,"Herbivore","Frugivore","In",-9.11,-8.08,-8.58,119.69,37609.37
"Chlorophonia flavirostris","Thraupidae","Passeriformes",8.6,4.9,4.1,4.5,13.9,57.2,41.4,15.9,28.5,27.8,11,"Forest",1,2,"Herbivore","Frugivore","In",-0.26,8.03,2.95,-77.32,21348.22
"Heliangelus viola","Trochilidae","Apodiformes",19.3,12.8,1.5,1.8,6.3,63.2,23.3,39.9,53.2,63.1,5.4,"Forest",1,1,"Herbivore","Nectarivore","Ar",-7.58,-0.69,-4.8,-78.91,35976.8
"Emberiza schoeniclus","Emberizidae","Passeriformes",11.3,6.9,5.1,4,19.3,77.9,61.7,16.4,63.6,21.1,18.4,"Wetland",2,2,"Herbivore","Omnivore","Tr",30.54,71.63,55.24,72.59,23743379.81
"Caprimulgus ridgwayi","Caprimulgidae","Caprimulgiformes",20.5,7.6,3.4,5.2,16.8,150.2,79.8,70.4,120,46.9,48,"Rock",3,1,"Carnivore","Invertivore","Gn",12.25,33.44,22.92,-103.59,631238.26
"Picus flavinucha","Picidae","Piciformes",36.5,26,9,9.5,26.2,155,121.8,32.5,112.9,20.9,176.8,"Forest",1,1,"Carnivore","Invertivore","In",-5.95,30.69,19.8,99.98,2932266.06
"Ochthoeca piurae","Tyrannidae","Passeriformes",13.6,7.5,3.3,4.1,19.6,60,51.5,8.5,54.2,14.1,8.9,"Shrubland",2,1,"Carnivore","Invertivore","In",-9.87,-5.49,-7.81,-78.54,20071.86
"Locustella lanceolata","Sylviidae","Passeriformes",12.3,6.8,3.2,2.6,18.1,54.6,41.2,12.8,48.5,23.7,10.6,"Grassland",2,3,"Carnivore","Invertivore","Gn",40.72,68.75,57.51,111.96,10065240.33
"Myophonus caeruleus","Turdidae","Passeriformes",33.3,19.4,9.6,6.9,49.9,169.4,133.8,35,119.4,20.7,158,"Forest",1,1,"Carnivore","Omnivore","Tr",-8.78,43.53,26.68,98.33,6946443.79
"Cacicus melanicterus","Icteridae","Passeriformes",40,27.9,10.2,7.3,31.3,145.8,108.7,35.4,131.8,24.6,81.3,"Shrubland",2,1,"Carnivore","Invertivore","In",13.52,28.03,20.34,-102.36,231633.39
"Amblyornis macgregoriae","Ptilonorhynchidae","Passeriformes",26.7,13.3,8.8,7.6,37.3,131.6,104.7,26.9,88.4,20.5,117.5,"Forest",1,1,"Herbivore","Frugivore","In",-10.18,-3.15,-5.4,141.98,139562.12
"Doliornis sclateri","Cotingidae","Passeriformes",19,7.9,5.8,5,25.9,100,86.2,13.8,95.3,13.8,60.2,"Forest",1,1,"Herbivore","Frugivore","In",-11.68,-8,-10.1,-76.01,13019.5
"Melopsittacus undulatus","Psittacidae","Psittaciformes",12.7,11.2,11.1,7.3,12.4,95.4,46.9,48.4,93.2,50.9,29,"Woodland",3,2,"Herbivore","Granivore","Gn",-37.95,-13.96,-25.84,132.9,5879807.51
"Chaetocercus bombus","Trochilidae","Apodiformes",15.5,11,1.1,1.5,3.4,28.2,12,16.8,20.8,58.4,6.5,"Forest",2,1,"Herbivore","Nectarivore","Ar",-8.71,1.82,-2.45,-78.91,174135.57
"Tanysiptera ellioti","Alcedinidae","Coraciiformes",39.1,29.7,12.2,11.4,18.2,105.6,88,17.5,190.9,16.6,50.2,"Forest",1,1,"Carnivore","Invertivore","In",-1.26,-1.15,-1.19,129.82,176.04
"Gypsophila crispifrons","Timaliidae","Passeriformes",20.7,11.7,5.2,3.9,28.3,79.8,73.9,6.9,72.4,8.5,27,"Forest",2,1,"Omnivore","Invertivore","Gn",13.36,22.44,18.44,101.41,240886.01
"Amaurornis phoenicurus","Rallidae","Gruiformes",37.1,18.6,8.8,4.4,50.8,147,111.5,33.7,57.6,23.2,180,"Wetland",2,1,"Carnivore","Aquatic predator","Tr",-12.19,43.25,19.12,99.24,9839893.66
"Speirops brunneus","Zosteropidae","Passeriformes",14.7,7.2,3.6,2.9,19.5,63.5,52.4,11.1,54,17.5,16.1,"Forest",2,1,"Omnivore","Omnivore","In",3.54,3.62,3.58,8.76,63.22
"Lanius collurioides","Laniidae","Passeriformes",17.9,9.7,6.8,5.9,25.3,89.4,67.2,22.3,95.1,24.9,26,"Shrubland",2,2,"Carnivore","Invertivore","In",10.91,27.27,21.75,102.66,1600656.54
"Coccycua pumila","Cuculidae","Cuculiformes",20.7,11.9,6,5.3,23.1,98,71.8,26.2,100.8,26.8,37.1,"Woodland",2,1,"Carnivore","Invertivore","In",1.48,11.49,7.49,-69.44,647667.46
"Lichmera deningeri","Meliphagidae","Passeriformes",22.2,12,3.9,3,19.1,77,62.1,14.9,64,19.4,16.6,"Forest",1,1,"Herbivore","Nectarivore","In",-3.84,-3.05,-3.42,126.63,8554.41
